% gravity , f/t measurements all expressed in F/T sensor frame
% [gx, gy, gz, fx, fy, fz, tx, ty, tz]
6.28583 7.47734 -0.864916 -1.18038 -1.404 0.162182 -0.0351 0.0295096 -7.66514e-16
-2.9842 -8.80124 3.13101 0.56021 1.65261 -0.588107 0.0413153 -0.0140053 -3.66842e-16
-0.760497 -9.77064 0.355732 0.142668 1.83466 -0.0670032 0.0458665 -0.00356671 -2.76812e-15
1.28847 -9.48396 -2.13651 -0.242068 1.78086 0.400964 0.0445215 0.00605171 1.98126e-15
3.72017 -7.55636 -5.02316 -0.698678 1.41895 0.943006 0.0354737 0.0174669 1.10403e-15
5.09278 -5.18044 -6.58764 -0.956429 0.972843 1.23679 0.0243211 0.0239107 3.65942e-15
5.99635 -1.99737 -7.49831 -1.12611 0.375166 1.40782 0.00937916 0.0281528 2.57488e-15
6.18449 0.816358 -7.56677 -1.16146 -0.153174 1.42069 -0.00382934 0.0290365 -3.07537e-15
5.92524 3.25868 -7.10232 -1.1128 -0.611783 1.3335 -0.0152946 0.0278199 1.22346e-15
1.97683 3.4419 -8.96749 -0.371423 -0.646183 1.68384 -0.0161546 0.00928557 1.75392e-15
1.97077 0.752751 -9.57705 -0.370277 -0.141226 1.79827 -0.00353065 0.00925693 5.4963e-16
0.804645 -2.72079 -9.38724 -0.151308 0.511007 1.76261 0.0127752 0.00378269 1.06476e-15
0.43388 -5.77322 -7.9153 -0.0816859 1.08415 1.4862 0.0271037 0.00204215 5.39794e-16
-0.438797 -7.84416 -5.86916 0.0821728 1.47299 1.10199 0.0368247 -0.00205432 -3.01629e-15
-0.480733 -9.4061 -2.73213 0.090047 1.76624 0.512936 0.0441561 -0.00225118 -1.50303e-15
-0.472778 -9.79276 -0.220853 0.0885537 1.83882 0.041392 0.0459706 -0.00221384 -2.33959e-15
-0.429116 -9.46231 2.53985 0.0803567 1.77676 -0.476981 0.0444189 -0.00200892 1.998e-15
-0.324723 -7.928 5.76297 0.0607577 1.48864 -1.08217 0.0372159 -0.00151894 1.2214e-15
-0.190016 -5.58991 8.05526 0.035466 1.0496 -1.51258 0.02624 -0.000886649 3.85286e-16
-0.0834718 -3.58609 9.12707 0.015461 0.673336 -1.71383 0.0168334 -0.000386526 -1.54022e-15
3.75645 -4.76548 7.70387 -0.705553 0.894794 -1.4465 0.0223699 0.0176388 -1.11349e-15
1.69721 -8.74659 4.0972 -0.318902 1.64235 -0.769293 0.0410588 0.00797254 -3.75405e-15
0.241593 -9.70752 1.36968 -0.0455853 1.82281 -0.257153 0.0455702 0.00113963 -3.84397e-16
-1.93947 -9.16485 -2.90076 0.363953 1.72095 0.54471 0.0430237 -0.00909882 1.52487e-15
-3.4876 -6.80781 -6.13684 0.654654 1.2784 1.15237 0.03196 -0.0163663 6.57819e-15
-4.22393 -3.90542 -7.94207 0.792926 0.733436 1.49136 0.0183359 -0.0198232 7.63751e-16
-4.16213 -1.13436 -8.80683 0.781333 0.213117 1.65376 0.00532794 -0.0195333 4.25306e-15
-3.79772 1.89284 -8.84109 0.712914 -0.355309 1.66022 -0.00888274 -0.0178229 -1.2082e-15
-3.13329 5.20758 -7.69636 0.588162 -0.977744 1.44531 -0.0244436 -0.0147041 2.88276e-16
-6.02909 4.30525 -6.42537 1.13197 -0.808308 1.20669 -0.0202077 -0.0282992 -3.64798e-15
-7.91988 2.35146 -5.2836 1.48704 -0.441433 0.992313 -0.0110358 -0.0371759 -1.68815e-15
-5.84839 -5.79304 -5.32986 1.09798 1.08786 1.00092 0.0271965 -0.0274495 1.2155e-15
-3.45575 -8.70081 -2.91962 0.648694 1.63382 0.548323 0.0408455 -0.0162173 -3.70782e-15
-0.871709 -9.76044 -0.379785 0.163485 1.83276 0.0714152 0.0458189 -0.00408714 -1.75348e-15
1.52323 -9.06008 3.43004 -0.286232 1.70122 -0.644014 0.0425305 0.0071558 -2.09189e-15
3.17001 -6.96333 6.13462 -0.59544 1.30749 -1.15184 0.0326873 0.014886 3.20139e-15
-6.44877 -7.38571 -0.187335 1.21094 1.3868 0.0349473 0.0346701 -0.0302736 3.62019e-15
-0.0264962 -9.80629 -0.0798192 0.00498606 1.84135 0.0147422 0.0460339 -0.000124652 -2.7549e-15
4.67094 -8.61919 -0.249604 -0.877034 1.61848 0.046627 0.0404619 0.0219259 2.29299e-15
7.78054 -5.94668 -0.520229 -1.46095 1.11668 0.0974449 0.0279169 0.0365237 -9.83415e-17
9.79051 -0.562381 -0.00346193 -1.83839 0.105674 0.000416572 0.00264185 0.0459596 -1.48029e-15
8.66978 4.48733 -0.932283 -1.628 -0.842537 0.174829 -0.0210634 0.0407001 -2.76935e-15
6.28567 7.4773 -0.866421 -1.18035 -1.40399 0.162465 -0.0350998 0.0295089 -1.2421e-15
