% gravity , f/t measurements all expressed in F/T sensor frame
% [gx, gy, gz, fx, fy, fz, tx, ty, tz]
-0.39448 0.476215 9.78713 1.38184 -0.780402 -2.76792 0.040007 0.0331698 0.00574813
3.25664 -0.649425 9.22729 -0.686069 -0.168774 -2.49218 0.0211588 -0.0832964 0.0173848
-8.82149 -0.0248533 4.28381 5.92584 -0.015766 0.941402 0.081833 0.2851 -0.027738
-8.74706 3.13682 3.13364 6.00737 -2.47934 1.063 0.136909 0.271385 -0.0211439
-4.12047 7.22083 5.20112 3.72421 -5.39116 -0.21949 0.230543 0.130179 0.00554811
2.09981 7.70952 5.68546 -0.0194947 -5.96493 -0.0505119 0.244281 -0.0292277 0.0240898
3.23003 -4.11357 8.29553 -0.957889 1.96211 -1.65411 -0.0744129 -0.0579575 0.00443377
-1.02904 -4.2469 8.77925 1.44118 2.44181 -2.14584 -0.0666613 0.0622315 -0.00939388
-7.82418 -2.41698 5.39544 5.10461 0.951748 0.0219291 -0.0195551 0.250921 -0.0270736
-1.47586 -9.68151 -0.510507 1.28029 5.91909 4.23905 -0.170602 0.104173 -0.0135023
-1.59947 0.299645 -9.67069 3.94316 -0.374412 10.0424 0.113575 0.0654287 0.0563842
4.53388 0.128979 -8.6947 0.472561 -0.481791 10.1064 0.108692 -0.100123 0.081467
-6.69839 0.337974 -7.15456 7.10653 -0.461664 8.54683 0.110665 0.205515 0.0411745
-6.57767 5.41553 -4.85558 7.03003 -4.05239 6.6499 0.227651 0.194837 0.0547361
-0.807797 8.66685 -4.51703 3.93791 -6.58586 6.8434 0.297085 0.0248572 0.0820171
4.7327 5.57632 -6.53273 0.553549 -4.52859 8.28237 0.223678 -0.118893 0.0969703
4.43662 -5.48986 -6.80795 0.930401 3.36883 8.62671 -0.0398188 -0.10194 0.0713066
-0.949205 -6.0389 -7.66819 3.63235 3.82375 9.00466 -0.0495377 0.0587813 0.0492105
-6.7937 -4.38071 -5.55207 6.67627 2.86424 7.64326 -0.018178 0.225292 0.0263093
-0.171856 9.77996 0.702261 2.8624 -6.71744 2.88136 0.314066 0.0198643 0.0816399
9.77795 -0.190337 0.725123 -4.58752 -0.284309 4.4317 0.0863966 -0.165784 -0.0269222
